Final Score Set,Total Count
"(102, 84)",15
"(124, 129)",15
"(111, 126)",15
"(127, 125)",15
"(118, 128)",15
"(107, 91)",15
"(106, 89)",15
"(84, 101)",15
"(89, 115)",15
"(101, 86)",15
"(94, 81)",15
"(84, 103)",15
"(103, 84)",15
"(79, 83)",15
"(125, 115)",15
"(94, 83)",15
"(83, 106)",14
"(83, 105)",14
"(92, 114)",14
"(106, 124)",14
"(95, 82)",14
"(109, 92)",14
"(102, 85)",14
"(83, 85)",14
"(91, 80)",14
"(93, 80)",14
"(116, 99)",14
"(107, 121)",14
"(102, 123)",14
"(86, 106)",14
"(119, 103)",14
"(94, 120)",14
"(79, 84)",14
"(101, 126)",14
"(92, 80)",14
"(86, 80)",14
"(79, 87)",14
"(119, 108)",14
"(77, 90)",14
"(91, 115)",14
"(122, 129)",14
"(85, 77)",14
"(123, 105)",14
"(77, 88)",14
"(75, 92)",14
"(105, 126)",14
"(78, 88)",14
"(83, 84)",14
"(87, 81)",14
"(125, 129)",14
"(81, 85)",14
"(81, 83)",14
"(96, 83)",14
"(76, 88)",14
"(88, 84)",14
"(123, 126)",14
"(90, 81)",14
"(113, 92)",14
"(123, 121)",14
"(121, 126)",14
"(120, 119)",14
"(82, 106)",14
"(89, 112)",14
"(120, 124)",14
"(82, 98)",14
"(120, 129)",14
"(89, 114)",14
"(89, 117)",14
"(113, 129)",14
"(87, 115)",14
"(121, 127)",14
"(122, 126)",14
"(83, 81)",14
"(127, 117)",14
"(98, 86)",14
"(76, 96)",14
"(123, 113)",14
"(125, 117)",13
"(111, 92)",13
"(111, 91)",13
"(78, 93)",13
"(78, 92)",13
"(116, 128)",13
"(94, 79)",13
"(111, 130)",13
"(97, 84)",13
"(112, 98)",13
"(85, 110)",13
"(98, 83)",13
"(111, 124)",13
"(106, 88)",13
"(121, 120)",13
"(125, 119)",13
